id,shannon,evenness,site,treatment,year,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp,cala_cover,cala_cover_rel
ADA_0_2014,1.1022095779452818,0.3975380730304939,ADA,0,0,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.4,2.366863905325444
ADA_0_2015,1.6572023413738686,0.5285298671433796,ADA,0,1,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.3,1.0600706713780919
ADA_0_2016,1.937244584660471,0.6267285596662441,ADA,0,2,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.35,0.5287009063444108
ADA_0_2017,1.5954460035196338,0.5161514368028929,ADA,0,3,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.2,0.28169014084507044
ADA_1_2014,1.2686868328384193,0.44779078691690866,ADA,1,0,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.35,1.541850220264317
ADA_1_2015,1.9179788751710987,0.6035073593958321,ADA,1,1,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.25,0.7961783439490446
ADA_1_2016,2.312161109115523,0.7183132357117865,ADA,1,2,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.1,0.1430615164520744
ADA_1_2017,2.2212614809735562,0.6468461728897407,ADA,1,3,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.05,0.07385524372230429
ADA_2_2014,1.8561760008433934,0.5840605917742343,ADA,2,0,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.25,0.46641791044776115
ADA_2_2015,2.101581402059107,0.6376472767012087,ADA,2,1,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,9.8,0.2,0.32733224222585927
