site,treatment,year,n,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp
ADA,1,0,17,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,1,1,24,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,1,2,25,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,1,3,31,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,0,0,16,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,0,1,23,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,0,2,22,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,0,3,22,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,2,0,24,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,2,1,27,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,2,2,32,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,2,3,29,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,3,0,24,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,3,1,33,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,3,2,34,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,3,3,34,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,4,0,25,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,4,1,30,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,4,2,34,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
ADA,4,3,31,98,535,0.607238514,7.36,8.39,4.59,27.996,1404.419,98.98,4100.5,92.78151218,158.3571717,-1.40701128736005,-0.10127527743023,0.184745269886119,53.5
BAR,1,0,16,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,1,1,19,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,1,2,20,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,1,3,22,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,2,0,13,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,2,1,17,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
