Releve number,Background_plots,site,treatment,value,year,redlisted,PC1,PC2,PC3
199,403225,ADA,0,0.9063585130790911,0,14,-1.40701128736005,-0.10127527743023,0.184745269886119
204,403225,ADA,0,0.8584283349944622,1,14,-1.40701128736005,-0.10127527743023,0.184745269886119
209,114296,ADA,0,0.8128547597505386,2,5,-1.40701128736005,-0.10127527743023,0.184745269886119
214,403225,ADA,0,0.8599500117310248,3,14,-1.40701128736005,-0.10127527743023,0.184745269886119
200,403225,ADA,1,0.9195804109532262,0,14,-1.40701128736005,-0.10127527743023,0.184745269886119
205,403225,ADA,1,0.8886006035111552,1,14,-1.40701128736005,-0.10127527743023,0.184745269886119
210,114296,ADA,1,0.8563928318064404,2,5,-1.40701128736005,-0.10127527743023,0.184745269886119
215,403225,ADA,1,0.8831579256928893,3,14,-1.40701128736005,-0.10127527743023,0.184745269886119
201,403225,ADA,2,0.878586264717762,0,14,-1.40701128736005,-0.10127527743023,0.184745269886119
206,114296,ADA,2,0.8617859751578587,1,5,-1.40701128736005,-0.10127527743023,0.184745269886119
211,114296,ADA,2,0.8247063677844573,2,5,-1.40701128736005,-0.10127527743023,0.184745269886119
216,403340,ADA,2,0.8539232787988537,3,18,-1.40701128736005,-0.10127527743023,0.184745269886119
202,403225,ADA,3,0.9044907093077882,0,14,-1.40701128736005,-0.10127527743023,0.184745269886119
207,114296,ADA,3,0.8342044720384832,1,5,-1.40701128736005,-0.10127527743023,0.184745269886119
212,403225,ADA,3,0.8243213879224651,2,14,-1.40701128736005,-0.10127527743023,0.184745269886119
217,403225,ADA,3,0.8313519825181074,3,14,-1.40701128736005,-0.10127527743023,0.184745269886119
203,114296,ADA,4,0.903606507672729,0,5,-1.40701128736005,-0.10127527743023,0.184745269886119
208,403340,ADA,4,0.8586100905399074,1,18,-1.40701128736005,-0.10127527743023,0.184745269886119
213,403340,ADA,4,0.8652670051350505,2,18,-1.40701128736005,-0.10127527743023,0.184745269886119
218,403340,ADA,4,0.8674450703248687,3,18,-1.40701128736005,-0.10127527743023,0.184745269886119
309,162851,BAR,1,0.8302252829550877,0,1,1.98047028061971,-0.438961187703609,-0.0681486016344044
310,184027,BAR,1,0.8146600027309299,1,0,1.98047028061971,-0.438961187703609,-0.0681486016344044
311,282091,BAR,1,0.7663094926442626,2,1,1.98047028061971,-0.438961187703609,-0.0681486016344044
312,282091,BAR,1,0.7565028062766597,3,1,1.98047028061971,-0.438961187703609,-0.0681486016344044
313,517845,BAR,2,0.7749041500246405,0,3,1.98047028061971,-0.438961187703609,-0.0681486016344044
314,116507,BAR,2,0.7383245665462715,1,0,1.98047028061971,-0.438961187703609,-0.0681486016344044
315,115650,BAR,2,0.7813710180261243,2,0,1.98047028061971,-0.438961187703609,-0.0681486016344044
316,517846,BAR,2,0.7976632298974146,3,4,1.98047028061971,-0.438961187703609,-0.0681486016344044
317,517845,BAR,3,0.8364812496606625,0,3,1.98047028061971,-0.438961187703609,-0.0681486016344044
318,282285,BAR,3,0.7168620010234463,1,1,1.98047028061971,-0.438961187703609,-0.0681486016344044
