species,form
Arthaldeus arenarius,Calamagrostis
Balclutha calamagrostis,Calamagrostis
Endria nebulosa,Calamagrostis
Eurysula lurida,Calamagrostis
Gravesteiniella boldi,Calamagrostis
Mirabella albifrons,Calamagrostis
Trypetimorpha occidentalis,Calamagrostis
Acanthodelphax spinosa,Graminoid
Adarrus multinotatus,Graminoid
Agallia brachyptera,Herb
Allygidius abbreviatus,Graminoid
Allygidius commutatus,Graminoid
Anaceratagallia ribauti,Herb
Anakelisia fasciata,Graminoid
Anoscopus flavostriatus,Graminoid
Aphrodes diminuta,Herb
Aphrodes makarovi,Herb
Aphrodes sp.,Herb
Aphrophora alni,Herb
Arocephalus languidus,Graminoid
Arocephalus longiceps,Graminoid
Arthaldeus pascuellus,Graminoid
Artianus interstitialis,Graminoid
Asiraca clavicornis,Graminoid
Athysanus argentarius,Graminoid
Athysanus quadrum,Graminoid
Balclutha punctata,Graminoid
Batracomorphus allionii,Herb
Cercopis sanguinolenta,Graminoid
Cercopis vulnerata,Graminoid
Cicadella viridis,Graminoid
Cicadula persimilis,Graminoid
Criomorphus albomargimatus,Graminoid
Deltocephalus pulicaris,Graminoid
Dicranotropis hamata,Graminoid
Dictyophara europaea,Herb
Ditropsis flavipes,Graminoid
Doratura stylata,Graminoid
Elymana sulphurella,Graminoid
Emelyanoviana mollicula,Herb
Empoasca pteridis,Herb
Errastunus ocellaris,Graminoid
Eupelix cuspidata,Graminoid
Eupteryx atropunctata,Herb
Eupteryx notata,Herb
Eurybregma nigrolineata,Graminoid
Eurysella brunnea,Graminoid
Evacanthus acuminatus,Herb
Evacanthus interruptus,Herb
Graphocraerus ventralis,Graminoid
Handianus flavovarius,Herb
Hardya tenuis,Graminoid
Hesium domino,Graminoid
Hyledelphax elegantula,Graminoid
Chlorita paolii,Herb
Jassargus flori,Graminoid
Jassargus obtusivalvis,Graminoid
Javesella pellucida,Graminoid
Kelisia praecox,Graminoid
Laodelphax striatella,Graminoid
Lepyronia coleoptrata,Herb
Macustus grisescens,Graminoid
Megadelphax sordidula,Graminoid
Megophthalmus scanicus,Herb
Metalimnus steini,Graminoid
Mocydia crocea,Graminoid
Mocydiopsis attenuata,Graminoid
Mocydiopsis intermedia,Graminoid
Mocydiopsis longicauda,Graminoid
Mocydiopsis sp.,Graminoid
Muellerianella brevipennis,Graminoid
Neoaliturus fenestratus,Herb
Neophilaenus campestris,Graminoid
Neophilaenus lineatus,Graminoid
Oncopsis sp.,Herb
Paluda flaveola,Graminoid
Philaenus spumarius,Herb
Planaphrodes bifasciata,Graminoid
Psammotettix alienus,Graminoid
Psammotettix confinis,Graminoid
Recilia coronifer,Graminoid
Reptalus quinquecostatus,Herb
Rhopalopyx adumbrata,Graminoid
Rhopalopyx preyssleri,Graminoid
Ribautodelphax albostriata,Graminoid
Ribautodelphax angulosa,Graminoid
Ribautodelphax collina,Graminoid
Ribautodelphax pungens,Graminoid
Stenocranus minutus,Graminoid
Stictocephala bisonia,Herb
Stictoris picturatus,Herb
Stiroma bicarinata,Graminoid
Streptanus aemulans,Graminoid
Tettigometra virescens,Herb
Turrutus socialis,Graminoid
Utecha trivia,Herb
Verdanus abdominalis,Graminoid
Xanthodelphax flaveola,Graminoid
Xanthodelphax straminea,Graminoid
Zygina hyperici,Herb
Zygina schneideri,Herb
Zyginidia pullula,Graminoid
Zyginidia scutellaris,Graminoid
Acalypta marginata,Moss
Adelphocoris lineolatus,Herb
Adelphocoris seticornis,Herb
Adelphocoris sp. (larvae),Herb
Aelia acuminata,Graminoid
Agramma confusum,Graminoid
Alydus calcaratus,Herb
Amblytylus nasutus,Graminoid
Anthocoris sp.,Predator
Berytinus clavipes,Herb
Berytinus crassipes,Herb
Berytinus minor,Herb
Berytinus sp. (larvae),Herb
Campylosteira verna,Moss
Capsodes gothicus,Herb
Capsus ater,Graminoid
Carpocoris fuscispinus,Herb
Carpocoris purpureipennis,Herb
Carpocoris sp. (larvae),Herb
Catoplatus fabricii,Herb
Ceraleptus gracilicornis,Herb
Ceraleptus lividus,Herb
Ceratocombus coleoptratus,Predator
Coptosoma scutellatum,Herb
Coreidae gen. sp. (larvae),Herb
Coreus marginatus,Herb
Coriomeris denticulatus,Herb
Criocoris nigripes,Herb
Cydnidae gen. sp. (larvae),Herb
Cymus claviculus,Graminoid
Deraeocoris ruber,Predator
Dictyla echii,Herb
Dictyla humuli,Herb
Dictyla rotundata,Herb
Dimorphopterus spinolae,Graminoid
Drymus sylvaticus,Herb
Eurydema oleracea,Herb
Eurydema sp. (larvae),Herb
Eurygaster maura,Graminoid
Eurygaster sp. (larvae),Graminoid
Eurygaster testudinaria,Graminoid
Euryopicoris nitidus,Herb
Eysarcoris aeneus,Herb
Geocoris dispar,Predator
Geocoris grylloides,Predator
Geocoris sp. (larvae),Predator
Graphosoma lineatum italicum,Herb
Graptopeltus lynceus,Herb
Hallodapus cf. rufescens,Predator
Halticus apterus,Herb
Heterogaster artemisiae,Herb
Himacerus mirmicoides,Predator
Horistus orientalis ,Herb
Charagochilus gyllenhalii,Herb
Chlamydatus pulicarius,Herb
Chlamydatus pullus,Herb
Lasiacantha capucina,Herb
Leptopterna dolabrata,Graminoid
Lopus decolor,Graminoid
Loricula sp.,Predator
Lygaeidae gen. sp. (larvae) ,Herb
Lygus pratensis,Herb
Lygus sp. (larvae),Herb
Megaloceroea recticornis,Graminoid
Megalonotus chiragra,Herb
Megalonotus sabulicola,Herb
Megalonotus sp. (larvae),Herb
Metopoplax origani,Herb
Miridae gen. sp. (larvae),Herb
Myrmecoris gracilis,Predator
Myrmus miriformis,Graminoid
Nabis brevis,Predator
Nabis flavomarginatus,Predator
Nabis pseudoferus,Predator
Nabis rugosus,Predator
Nabis sp. (larvae),Predator
Neottiglossa leporina,Graminoid
Neottiglossa pusilla,Graminoid
Nithecus jacobeae,Herb
Nysius senecionis,Herb
Orius spp.,Predator
Ortholomus punctipennis,Herb
Orthonotus rufifrons,Herb
Palomena sp. (larvae),Herb
Pentatomoidea gen. sp. (larvae),Herb
Peribalus strictus,Herb
Peritrechus geniculatus,Graminoid
Phoenicocoris sp. ,Conifer
Phymata crassipes,Predator
Piesma maculatum,Herb
Piezodorus lituratus,Herb
Plagiognathus chrysanthemi,Herb
Plinthisus brevipennis ,Herb
Plinthisus pusillus,Herb
Polymerus microphthalmus,Herb
Polymerus unifasciatus,Herb
Pterotmetus staphiliniformis,Herb
Pyrrhocoris apterus,Herb
Raglius alboacuminatus,Herb
Rhopalidae gen. sp. (larvae),Herb
Rhopalus conspersus,Herb
Rhopalus subrufus,Herb
Rhynocoris iracundus,Predator
Rhyparochromidae gen. sp. (larvae),Herb
Rhyparochromus pini,Herb
Rhyparochromus sp. (larvae),Herb
Sciocoris cursitans,Herb
Sciocoris microphthalmus,Herb
Sciocoris sp. (larvae),Herb
Sciocoris umbrinus,Herb
Scolopostethus thomsoni,Herb
Scutelleridae gen. sp. (larvae),Graminoid
Sehirus luctuosus,Herb
Spilostethus saxatillis,Herb
Stenodema calcarata,Graminoid
Stenodema holsata,Graminoid
Stenodema laevigata,Graminoid
Stenodemini gen. sp. (larvae),Graminoid
Stenotus binotatus,Graminoid
Stictopleurus abutilon,Herb
Systellonotus triguttatus,Predator
Taphropeltus homalonotus,Herb
Thyreocoris scarabaeoides,Herb
Tingidae gen. sp. (larvae),Herb
Tingis ampliata,Herb
Tingis auriculata,Herb
Tingis cardui,Herb
Tingis pilosa,Herb
Tingis reticulata,Herb
Trapezonotus anorus,Herb
Trapezonotus arenarius,Herb
Trigonotylus gen. sp. (larvae),Graminoid
Tropistethus holosericus,Herb
Tytthus pygmaeus,Predator
