Releve number,species,cover
402153,Salvia pratensis,3
402153,Ranunculus polyanthemos,2
402153,Peucedanum alsaticum,2
402153,Peucedanum cervaria,13
402153,Origanum vulgare,2
402153,Potentilla heptaphylla,2
402153,Viola hirta,2
402153,Vicia tenuifolia,13
402153,Trifolium montanum,2
402153,Trifolium alpestre,3
402153,Teucrium chamaedrys,2
402153,Eryngium campestre,2
402153,Erysimum odoratum,2
402153,Festuca rupicola,13
402153,Fragaria viridis,2
402153,Euphorbia cyparissias,2
402153,Thymus pulegioides,4
402153,Plantago media,6
402153,Agrimonia eupatoria,2
402153,Achillea millefolium agg.,4
402153,Dactylis glomerata,2
402153,Eurhynchium hians,13
402153,Dorycnium pentaphyllum s.lat.,4
402153,Galium verum agg.,4
402153,Galium mollugo agg.,4
402153,Medicago falcata,2
402153,Laser trilobum,3
402153,Lathyrus latifolius,3
402153,Melampyrum nemorosum,2
402153,Galium glaucum,2
402153,Geranium sanguineum,13
402153,Inula ensifolia,2
402197,Scirpus sylvaticus,2
402197,Rumex arifolius,2
402197,Prunella vulgaris,2
402197,Poa trivialis,2
402197,Viola palustris,13
402197,Tephroseris crispa,2
402197,Epilobium palustre,2
402197,Eriophorum angustifolium,2
402197,Euphrasia officinalis var. rostkoviana,2
402197,Ranunculus acris,4
402197,Myosotis palustris agg.,4
402197,Plagiomnium affine s.lat.,3
402197,Luzula campestris agg.,4
402197,Agrostis canina,13
402197,Dactylorhiza majalis,2
402197,Galium palustre agg.,4
402197,Carex flava,2
402197,Filipendula ulmaria,4
402197,Lychnis flos-cuculi,1
402197,Nardus stricta,3
402197,Mentha arvensis,2
402197,Equisetum fluviatile,2
402197,Juncus filiformis,2
402197,Juncus effusus,13
402197,Juncus articulatus,2
402282,Pilosella officinarum,2
402282,Potentilla verna,3
402282,Plantago lanceolata,3
402282,Potentilla argentea,2
402282,Viscaria vulgaris,2
402282,Verbascum chaixii ssp. austriacum,2
402282,Eryngium campestre,2
402282,Echium vulgare,2
402282,Festuca rupicola,3
402282,Fragaria viridis,2
402282,Euphorbia cyparissias,8
402282,Rumex acetosella,4
402282,Hypnum cupressiforme agg.,2
402282,Luzula campestris agg.,4
402282,Achillea millefolium agg.,4
402282,Dianthus carthusianorum s.lat.,6
402282,Galium verum agg.,6
402282,Cladonia furcata,2
402282,Carlina acaulis,2
402282,Carlina vulgaris s.lat.,1
402282,Hypericum perforatum,4
403042,Silene nutans,2
403042,Scorzoneroides autumnalis,2
403042,Securigera varia,3
403042,Pilosella bauhini,2
403042,Prunella grandiflora,2
403042,Potentilla heptaphylla,2
403042,Potentilla erecta,2
403042,Ranunculus bulbosus,2
403042,Polygala vulgaris,2
403042,Viola hirta,2
403042,Trifolium pratense,2
403042,Trifolium repens,3
403042,Taraxacum sect. Taraxacum,2
403042,Vicia hirsuta,2
403042,Festuca rupicola,3
403042,Festuca pratensis agg.,2
403042,Fragaria viridis,3
403042,Fragaria moschata,2
403042,Euphorbia cyparissias,2
403042,Euphrasia officinalis var. rostkoviana,2
403042,Thymus pulegioides,6
403042,Leucanthemum vulgare agg.,4
403042,Pimpinella saxifraga,4
