species,new_species,keep,link_species,Orig,CZ,SK,Cesko,Slovensko
Achillea millefolium agg.,Achillea millefolium agg.,TRUE,Achillea millefolium agg.,200,736,104,NA,NA
Achillea asplenifolia,Achillea millefolium agg.,TRUE,Achillea asplenifolia,NA,17,NA,NA,NA
Achillea pannonica,Achillea millefolium agg.,TRUE,Achillea pannonica,NA,120,NA,NA,NA
Achillea setacea,Achillea millefolium agg.,TRUE,Achillea setacea,NA,9,NA,NA,NA
Achillea nobilis,Achillea nobilis,TRUE,Achillea nobilis,NA,NA,8,LC,NA
Achillea ptarmica,Achillea ptarmica,TRUE,Achillea ptarmica,NA,7,2,-,NT
Acinos alpinus,Acinos alpinus,TRUE,Acinos alpinus,NA,NA,44,NA,NA
Acinos arvensis,Acinos arvensis,TRUE,Acinos arvensis,3,184,10,-,NA
Aconitum lycoctonum,Aconitum lycoctonum,TRUE,Aconitum lycoctonum,NA,1,NA,LC,NA
Adonis vernalis,Adonis vernalis,TRUE,Adonis vernalis,3,71,4,VU,NT
Aegopodium podagraria,Aegopodium podagraria,TRUE,Aegopodium podagraria,20,34,7,-,NA
Agrimonia eupatoria,Agrimonia eupatoria,TRUE,Agrimonia eupatoria,111,140,6,-,NA
Agrimonia procera,Agrimonia procera,TRUE,Agrimonia procera,NA,1,NA,NT,NA
Agrimonia species,Agrimonia species,TRUE,Agrimonia species,NA,3,NA,NA,NA
Agrostis vinealis,Agrostis canina agg.,TRUE,Agrostis vinealis,4,NA,NA,-,NA
Agrostis canina,Agrostis canina agg.,TRUE,Agrostis canina,NA,27,11,-,NA
Agrostis capillaris,Agrostis capillaris,TRUE,Agrostis capillaris,101,NA,NA,-,NA
Agrostis stolonifera,Agrostis stolonifera,TRUE,Agrostis stolonifera,18,NA,NA,-,NA
Ajuga genevensis,Ajuga genevensis,TRUE,Ajuga genevensis,3,NA,NA,-,NA
Ajuga reptans,Ajuga reptans,TRUE,Ajuga reptans,24,NA,NA,-,NA
Alchemilla vulgaris s.lat.,Alchemilla vulgaris agg.,TRUE,Alchemilla vulgaris s.lat.,58,203,79,NA,NA
Alisma plantago-aquatica,Alisma plantago-aquatica,TRUE,Alisma plantago-aquatica,NA,2,3,-,NA
Allium carinatum,Allium carinatum,TRUE,Allium carinatum,2,NA,NA,NT,NT
Allium oleraceum,Allium oleraceum,TRUE,Allium oleraceum,1,NA,NA,-,NA
Allium scorodoprasum,Allium scorodoprasum,TRUE,Allium scorodoprasum,17,NA,NA,-,NA
Allium senescens ssp. montanum,Allium senescens ssp. montanum,TRUE,Allium senescens subsp. montanum,NA,63,NA,LC,NA
Alopecurus pratensis,Alopecurus pratensis,TRUE,Alopecurus pratensis,54,NA,NA,-,NA
Anagallis arvensis,Anagallis arvensis,TRUE,Anagallis arvensis,14,NA,NA,-,NA
Anemone nemorosa,Anemone nemorosa,TRUE,Anemone nemorosa,12,NA,NA,-,NA
Anemone ranunculoides,Anemone ranunculoides,TRUE,Anemone ranunculoides,5,NA,NA,-,NA
Anemone sylvestris,Anemone sylvestris,TRUE,Anemone sylvestris,7,NA,NA,EN,NT
Angelica sylvestris,Angelica sylvestris,TRUE,Angelica sylvestris,12,NA,NA,-,NA
Anthericum ramosum,Anthericum ramosum,TRUE,Anthericum ramosum,2,NA,NA,LC,NA
Anthoxanthum odoratum s.lat.,Anthoxanthum odoratum,TRUE,Anthoxanthum odoratum,64,NA,NA,-,NA
Anthriscus sylvestris,Anthriscus sylvestris,TRUE,Anthriscus sylvestris,37,NA,NA,-,NA
Anthyllis vulneraria,Anthyllis vulneraria,TRUE,Anthyllis vulneraria,4,177,52,-,NA
Arabis hirsuta agg.,Arabis hirsuta agg.,TRUE,Arabis hirsuta agg.,15,100,17,NA,NA
Arctium species,Arctium species,TRUE,Arctium species,11,NA,NA,NA,NA
Arenaria serpyllifolia agg.,Arenaria serpyllifolia agg.,TRUE,Arenaria serpyllifolia,3,136,4,-,NA
Arrhenatherum elatius,Arrhenatherum elatius,TRUE,Arrhenatherum elatius,185,NA,NA,-,NA
Artemisia campestris,Artemisia campestris,TRUE,Artemisia campestris,NA,110,NA,-,NA
Artemisia vulgaris,Artemisia vulgaris,TRUE,Artemisia vulgaris,59,NA,NA,-,NA
Asarum europaeum,Asarum europaeum,TRUE,Asarum europaeum,8,NA,NA,-,NA
Asplenium trichomanes,Asplenium trichomanes,TRUE,Asplenium trichomanes,NA,16,1,-,NA
Astragalus cicer,Astragalus cicer,TRUE,Astragalus cicer,4,NA,NA,-,NA
Astragalus danicus,Astragalus danicus,TRUE,Astragalus danicus,4,NA,NA,NT,NT
Astragalus glycyphyllos,Astragalus glycyphyllos,TRUE,Astragalus glycyphyllos,44,NA,NA,-,NA
Atriplex prostrata ssp. latifolia,Atriplex prostrata ssp. latifolia,TRUE,Atriplex prostrata subsp. latifolia,NA,28,NA,NT,NA
Avenula pubescens,Avenula pubescens,TRUE,Avenula pubescens,35,NA,NA,-,NA
Ballota nigra,Ballota nigra,TRUE,Ballota nigra,3,NA,NA,-,NA
Betonica officinalis,Betonica officinalis,TRUE,Betonica officinalis,40,NA,NA,-,NA
Botrychium lunaria,Botrychium lunaria,TRUE,Botrychium lunaria,2,NA,NA,VU,NA
Brachypodium pinnatum,Brachypodium pinnatum,TRUE,Brachypodium pinnatum,114,NA,NA,-,NA
Briza media,Briza media,TRUE,Briza media,27,NA,NA,-,NA
Bromus commutatus,Bromus commutatus,TRUE,Bromus commutatus,11,NA,NA,DD,NA
Bromus erectus,Bromus erectus,TRUE,Bromus erectus,37,NA,NA,-,NA
